Sa_PS_table-vibrante_feedback_1,
,
T (s),Sa (g)
0,0.2588
0.02,0.2602
0.03,0.2913
0.04,0.3364
0.05,0.2951
0.06,0.3477
0.07,0.3413
0.08,0.3194
0.09,0.4235
0.1,0.5547
0.11,0.5136
0.12,0.4636
0.13,0.6458
0.14,0.6211
0.15,0.4714
0.16,0.4543
0.17,0.4844
0.18,0.5092
0.19,0.4639
0.2,0.4754
0.21,0.5163
0.22,0.4732
0.23,0.459
0.24,0.4636
0.25,0.5277
0.26,0.5881
0.27,0.6241
0.28,0.7047
0.29,0.7658
0.3,0.7834
0.31,0.7745
0.32,0.7309
0.33,0.7166
0.34,0.7567
0.35,0.7639
0.36,0.7905
0.37,0.8621
0.38,0.885
0.39,0.8133
0.4,0.7493
0.41,0.704
0.42,0.6652
0.43,0.6431
0.44,0.6432
0.45,0.6669
0.46,0.6938
0.47,0.6978
0.48,0.6757
0.49,0.6467
0.5,0.6267
0.51,0.6153
0.52,0.5943
0.53,0.5569
0.54,0.5146
0.55,0.4947
0.56,0.5211
0.57,0.5519
0.58,0.5783
0.59,0.59
0.6,0.5753
0.61,0.5656
0.62,0.558
0.63,0.5299
0.64,0.4834
0.65,0.428
0.66,0.3734
0.67,0.3292
0.68,0.2989
0.69,0.2806
0.7,0.2684
0.71,0.2582
0.72,0.2544
0.73,0.2528
0.74,0.2508
0.75,0.2539
0.76,0.2582
0.77,0.2637
0.78,0.2693
0.79,0.274
0.8,0.2773
0.81,0.2919
0.82,0.3104
0.83,0.3243
0.84,0.3314
0.85,0.3309
0.86,0.3253
0.87,0.3168
0.88,0.3075
0.89,0.2994
0.9,0.294
0.91,0.2913
0.92,0.2912
0.93,0.2922
0.94,0.293
0.95,0.2942
0.96,0.3018
0.97,0.305
0.98,0.3032
0.99,0.2975
1,0.2894
1.01,0.2839
1.02,0.2809
1.03,0.2814
1.04,0.2853
1.05,0.2905
1.06,0.2972
1.07,0.3038
1.08,0.3103
1.09,0.3178
1.1,0.3265
1.11,0.3349
1.12,0.3415
1.13,0.3453
1.14,0.3462
1.15,0.3493
1.16,0.3482
1.17,0.3429
1.18,0.3405
1.19,0.3361
1.2,0.3285
1.21,0.3178
1.22,0.3042
1.23,0.288
1.24,0.2705
1.25,0.2509
1.26,0.2315
1.27,0.2283
1.28,0.2252
1.29,0.2213
1.3,0.2171
1.31,0.2124
1.32,0.2073
1.33,0.2023
1.34,0.2005
1.35,0.1983
1.36,0.195
1.37,0.191
1.38,0.1894
1.39,0.1937
1.4,0.1969
1.41,0.2004
1.42,0.2042
1.43,0.2073
1.44,0.2096
1.45,0.2107
1.46,0.2113
1.47,0.2105
1.48,0.209
1.49,0.2064
1.5,0.2029
1.51,0.1988
1.52,0.1936
1.53,0.1882
1.54,0.182
1.55,0.1758
1.56,0.1691
1.57,0.1624
1.58,0.1558
1.59,0.1494
1.6,0.1434
1.61,0.1381
1.62,0.1331
1.63,0.1284
1.64,0.124
1.65,0.1201
1.66,0.1165
1.67,0.1132
1.68,0.1103
1.69,0.1078
1.7,0.1057
1.71,0.1039
1.72,0.1024
1.73,0.1013
1.74,0.1005
1.75,0.1001
1.76,0.0998
1.77,0.0998
1.78,0.0999
1.79,0.1
1.8,0.1002
1.81,0.1005
1.82,0.1008
1.83,0.1009
1.84,0.1011
1.85,0.1024
1.86,0.1042
1.87,0.106
1.88,0.1075
1.89,0.109
1.9,0.1101
1.91,0.1111
1.92,0.1119
1.93,0.1123
1.94,0.1126
1.95,0.1126
1.96,0.1125
1.97,0.1122
1.98,0.1119
1.99,0.1115
2,0.1111
